artist_name,artist_id
R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ
Jocelyn Alice,7iymigONRODGl6XJIprcuF
Your Smith,2kTZfKGZEj8R76z3ooKOF1
Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp
Andy Mineo,1TMrnxBwZfmfRxsGzkNIHw
Lecrae,1CFCsEqKrCyvAFKOATQHiW
Curtis Walsh,1skYjCzZNmy9Zjk7mdFgeS
Alex Da Kid,0vjlH9sbJOZyhDjhvajQpY
Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd
H.E.R.,3Y7RZ31TRPVadSFVy1o8os
Rapsody,6NL31G53xThQXkFs7lDpL5
Kygo,23fqKkggKUBHNkbKtXEls4
The Night Game,79QO0Xmn1dZhvaLicS2Yrs
The Him,5WdqBAQhGFCrZvBKXiPIu7
Espinoza Paz,01rgao9OzfBm2BOHWJpi1Y
Alok,0NGAZxHanS9e0iNHpR8f2W
Mario Bautista,0AspLZGQkP38yddNoD0pLn
Black Atlass,7AbKOHOvn27dK0FOiboAno
Parcels,3oKRxpszQKUjjaHz388fVA
DAY6,5TnQc2N1iKlFjYD7CPGvFc
Gloria Trevi,1Db5GsIoVWYktPoD2nnPZZ
Miky Woodz,1pf0MPKfKdvS8J779mS1Ay
Calvin Harris,7CajNmpbOovFoOoasH2HaY
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh
The Interrupters,25Maank76ry2Tmbi2Ql1SF
Taska Black,3XFcu2NnGWceLNdxRCfYH3
TAEYEON,3qNVuliS40BLgXGxhdBdqu
MYA,5Rj6rNR8zIlUUDCs1OyPmW
Abraham Mateo,2bxxlINUlcMQQb39K7IopR
Feid,2LRoIwlKmHjgvigdNGBHNo
iamjakehill,26JloX1vHxGGrGUVeMItFJ
AmaLee,4sf4DrAOkheqktxTyKm7tO
JayDaYoungan,0E3pLs4jXz9tDQGY8m1A1d
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs
Didirri,01lbqGTSuT9Jr3gMwiF3Xw
Prelow,7aSRqRjQAYTEm2fFohlZZn
Lostboycrow,5PxCTrv3Y1xVACfngpt7D2
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c
The Vamps,7gAppWoH7pcYmphCVTXkzs
New Hope Club,2WuKU0SYZOQyY3MmE4vtez
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk
Bassjackers,6xQvQwZQQuq9R3TdPNbcR8
Seven Lions,6fcTRFpz0yH79qSKfof7lp
Blastoyz,6WLP1sraOcF3Gaxp7xBa4p
Fiora,2r7POU2f5jV6x3k4vsNwrM
First Aid Kit,21egYD1eInY6bGFcniCRT1
Lily Allen,13saZpZnCDWOI9D4IJhp1f
I'm With Her,3oXddLOOjkoUuC2sX1RMdr
Dannic,1PFc84GHTYPL0G12JHh9Mc
Polina Griffith,7DyGjIiaZiLrfyrdbIsDEP
JayKode,1AlMOfS6T5s24LsrLZ2Eji
Sam Bruno,2PgOtERwe37cW1U9z7zAHb
Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej
SEUNGRI,20j1uz7iDOtIvIzCr5S8nx
B.I,0UntV1Bw2hk3fbRrm9eMP6
Sickick,3NR7hAacOhmcztWvD7vJfS
Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU
Neutro Shorty,5wUO3A6DT4tO5UDz21kE2Y
Jon Z,5bWUlnPx9OYKsLiUJrhCA1
Joey Bada$$,2P5sC9cVZDToPxyomzF1UH
Kirk Knight,1nSpOxq3pcgomrfpXudQuq
Eric Nam,2FLqlgckDKdmpBrvLAT5BM
Caamp,0wyMPXGfOuQzNR54ujR9Ix
Sean Paul,3Isy6kedDrgPYoTS1dazA9
Jhené Aiko,5ZS223C6JyBfXasXxrRqOk
Giggs,3S0tlB4fE7ChxI2pWz8Xip
Daron Malakian and Scars On Broadway,5vbtZfRJjn2QLhPhtYpiqi
John Vincent III,1sgVcCMCarG7yWGmkP9wMb
NateWantsToBattle,0Vb15td3iKkAzdGD5Sj9Ky
