artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_ids,img
R3HAB,6Wosx2euFPMT14UXiWudMy,Radio Silence,0.025,0.603,138913,0.723,0.0,9,0.0824,-5.89,0,0.0454,114.966,4,0.382,"6cEuCEZu7PAE9ZSzLLc2oQ,7iymigONRODGl6XJIprcuF",https://i.scdn.co/image/ab67616d00001e0207b0a5095d96fe0e8f2e8f0f
Your Smith,5Y7DSov75Ic5viePFoD0WX,The Spot,0.0617,0.935,171383,0.7559999999999999,7.6e-06,4,0.12,-6.957000000000001,1,0.084,112.045,4,0.961,2kTZfKGZEj8R76z3ooKOF1,https://i.scdn.co/image/ab67616d00001e02d87bc6d33a1648bf1918dbbf
Snow Patrol,0aYzQjr1hq0qJwp45diy5M,Heal Me,0.122,0.552,241160,0.789,4.98e-06,9,0.0874,-5.449,1,0.0242,93.938,4,0.349,3rIZMv9rysU7JkLzEaC5Jp,https://i.scdn.co/image/ab67616d00001e0291dac9fd0aaac5710d19ad9b
Lecrae,1FYd1szE0RHXOAM00V4MEx,Coming In Hot,0.0271,0.89,200168,0.4539999999999999,3.58e-06,8,0.157,-8.777000000000001,1,0.26,140.041,4,0.425,"1TMrnxBwZfmfRxsGzkNIHw,1CFCsEqKrCyvAFKOATQHiW",https://i.scdn.co/image/ab67616d00001e027f0b3f0456b85dea228ad486
Curtis Walsh,0C5jmw61aKNP6ngy0FXm56,Full Recovery,0.7859999999999999,0.524,176135,0.307,0.0,9,0.111,-9.753,1,0.0465,153.157,4,0.408,1skYjCzZNmy9Zjk7mdFgeS,https://i.scdn.co/image/ab67616d00001e02da46b28fe1aa20b8fd50b5c1
Alex Da Kid,1Fj145pL4KfM2dyqabvkvl,"Go 2.0 (feat. Jorja Smith, H.E.R. and Rapsody)",0.0237,0.586,207173,0.569,0.0,1,0.179,-6.507000000000001,0,0.0649,132.71200000000002,4,0.65,"0vjlH9sbJOZyhDjhvajQpY,1CoZyIx7UvdxT5c8UkMzHd,3Y7RZ31TRPVadSFVy1o8os,6NL31G53xThQXkFs7lDpL5",https://i.scdn.co/image/ab67616d00001e0261283d582f4720e176611a15
Kygo,0zhBS3T33cnJUwfoOEmlCL,Kids in Love (feat. The Night Game) - The Him Remix,0.104,0.532,195920,0.723,9.28e-06,0,0.114,-4.691,1,0.0449,125.071,4,0.181,"23fqKkggKUBHNkbKtXEls4,79QO0Xmn1dZhvaLicS2Yrs,5WdqBAQhGFCrZvBKXiPIu7",https://i.scdn.co/image/ab67616d00001e021f387ceb1bdb27840d61682b
Espinoza Paz,7bjAtBIgDlmTQAILEtww40,El Próximo Viernes,0.696,0.7829999999999999,251992,0.432,1.05e-06,0,0.0382,-5.551,1,0.034,136.092,3,0.72,01rgao9OzfBm2BOHWJpi1Y,https://i.scdn.co/image/ab67616d00001e021d2fe59a5825f0d0cd231876
Alok,74RrMiuSOzAHZEqLlC0BHz,Toda La Noche,0.379,0.735,186667,0.8190000000000001,0.0,0,0.0423,-4.809,1,0.124,90.039,4,0.616,"0NGAZxHanS9e0iNHpR8f2W,0AspLZGQkP38yddNoD0pLn",https://i.scdn.co/image/ab67616d00001e02dced82396255277fa5028baa
Black Atlass,5jDp0atW1tJ1lcFSOPNHni,Pain & Pleasure,0.191,0.6809999999999999,194120,0.514,0.0207,1,0.0983,-6.272,0,0.0676,150.97899999999998,4,0.145,7AbKOHOvn27dK0FOiboAno,https://i.scdn.co/image/ab67616d00001e0279ad7d0c539737376165dc11
Parcels,6tpAsLYl8JREa9JeMFUTBV,Bemyself,0.377,0.497,147788,0.3829999999999999,2.53e-06,9,0.725,-13.44,1,0.0299,209.747,3,0.884,3oKRxpszQKUjjaHz388fVA,https://i.scdn.co/image/ab67616d00001e0218cac45f2357662852a0a76f
Day6,5sUQ5UfwoQWlfVprZ8dNmv,원하니까 Still,0.0761,0.465,251854,0.725,0.0,0,0.141,-3.495,1,0.038,179.872,4,0.32,5TnQc2N1iKlFjYD7CPGvFc,https://i.scdn.co/image/ab67616d00001e02a8661b4aa446c2dd88d83e8c
Gloria Trevi,47Y8o48cWHjMR0YyVccX8J,Que Me Duela,0.096,0.7170000000000001,202320,0.8140000000000001,0.000217,11,0.0631,-5.744,0,0.0665,93.021,4,0.535,1Db5GsIoVWYktPoD2nnPZZ,https://i.scdn.co/image/ab67616d00001e02b10f8f956f1ca44f69c90879
Miky Woodz,0gBAr8mSDKLXhZFW0dNyc7,About Me,0.233,0.8190000000000001,252880,0.539,0.0,1,0.181,-4.901,1,0.111,80.024,4,0.55,1pf0MPKfKdvS8J779mS1Ay,https://i.scdn.co/image/ab67616d00001e02ec9dfb900a9a60ba391a15a5
Calvin Harris,7FliZx9wTDb0U1tPfS7AuX,One Kiss (with Dua Lipa) - Valentino Khan Remix,0.1689999999999999,0.8290000000000001,251429,0.664,0.000927,7,0.262,-4.191,1,0.0435,126.017,4,0.432,"7CajNmpbOovFoOoasH2HaY,6M2wZ9GZgrQXHCFfjv46we,0deIjoDjl9g9Zpw0sCIOHh",https://i.scdn.co/image/ab67616d00001e023ce13931214f0c268b588352
The Interrupters,4C0ZP5m9z0pfefQHUhach5,Gave You Everything,0.0007509999999999,0.413,186120,0.987,0.00266,2,0.515,-3.096,1,0.104,163.084,4,0.352,25Maank76ry2Tmbi2Ql1SF,https://i.scdn.co/image/ab67616d00001e02c9c292d93a9d27c4762cb559
Taska Black,25DHR3vMzKxc4pkdfNx1b9,Forever,0.0342,0.573,215172,0.5770000000000001,0.0,0,0.0936,-5.86,0,0.0451,72.57,4,0.283,3XFcu2NnGWceLNdxRCfYH3,https://i.scdn.co/image/ab67616d00001e0232fd4edddf227be4624e37b5
TAEYEON,1HVjqP22I8rGY1gyEqrEuy,Circus,0.669,0.75,234027,0.473,0.0,1,0.103,-6.906000000000001,1,0.0427,108.016,4,0.337,3qNVuliS40BLgXGxhdBdqu,https://i.scdn.co/image/ab67616d00001e02b4c6cba427ce87604af348df
MYA,01GkSQ5gDn2BHOfgfdUepy,Loco por Ti,0.0568,0.705,194674,0.7120000000000001,0.0,11,0.0921,-5.409,1,0.156,173.96400000000003,4,0.867,"5Rj6rNR8zIlUUDCs1OyPmW,2bxxlINUlcMQQb39K7IopR,2LRoIwlKmHjgvigdNGBHNo",https://i.scdn.co/image/ab67616d00001e0254904876d80f2f8d328aeb22
Iamjakehill,0LCCBPmALbnVwvFgMv1urS,New Wave,0.564,0.963,128139,0.748,1.09e-06,0,0.0887,-4.942,1,0.0537,110.976,4,0.903,26JloX1vHxGGrGUVeMItFJ,https://i.scdn.co/image/ab67616d00001e020253d4d74e0e96717a103879
AmaLee,5YvdxdabvCxfITqC4MVTSg,Kiss of Death,0.00513,0.523,244918,0.867,0.0,5,0.371,-2.28,1,0.0854,121.926,4,0.204,4sf4DrAOkheqktxTyKm7tO,https://i.scdn.co/image/ab67616d00001e0224726bf00c8624d953c57bfc
Jaydayoungan,68VQqWdW03lehcgkUpyBl9,Made The List,0.144,0.647,222280,0.682,0.0,1,0.122,-9.253,0,0.357,161.006,4,0.51,0E3pLs4jXz9tDQGY8m1A1d,https://i.scdn.co/image/ab67616d00001e0298f5115f8fb545bdebd7618b
Zé Neto & Cristiano,1fyhyOy6iS9E2NckAzjmTo,Status Que Eu Não Queria - Ao Vivo,0.59,0.58,153934,0.871,0.0,4,0.564,-4.052,1,0.209,117.622,4,0.911,487N2T9nIPEHrlTZLL3SQs,https://i.scdn.co/image/ab67616d00001e0247fe812f2bdd890e5c7a829c
Didirri,05veb69kd6kyLyPUohsrxp,I Cant Get Last Night Out Of My Head,0.359,0.5710000000000001,195418,0.375,0.0,0,0.0963,-12.281,1,0.0641,153.57299999999998,4,0.599,01lbqGTSuT9Jr3gMwiF3Xw,https://i.scdn.co/image/ab67616d00001e024a409dc4f45929d247217d68
Prelow,24K0dpktOSPkMyzC0GYSxq,Some Nights,0.156,0.64,260392,0.747,3.4e-06,1,0.0848,-5.359,0,0.0477,76.48100000000001,1,0.695,"7aSRqRjQAYTEm2fFohlZZn,5PxCTrv3Y1xVACfngpt7D2",https://i.scdn.co/image/ab67616d00001e0260267a276b5e4b79cf284886
Bryant Myers,49Ss79zHdbF1cWHN99tAXJ,Me Han Hablau De Ti,0.193,0.802,259853,0.504,0.0,11,0.1119999999999999,-8.839,0,0.215,121.152,4,0.327,"6w9ToX5slZ4uIdmD17hJ3c,1pf0MPKfKdvS8J779mS1Ay",https://i.scdn.co/image/ab67616d00001e02a1a3efe5899893590fcbd0de
Bryant Myers,1sLUxTb7yh97dI3qiuijpj,Volvamos Hablar,0.2339999999999999,0.693,226280,0.705,0.0,7,0.129,-5.642,0,0.0762,172.02,4,0.521,6w9ToX5slZ4uIdmD17hJ3c,https://i.scdn.co/image/ab67616d00001e02a1a3efe5899893590fcbd0de
The Vamps,3hpyJoGe3N31LuIJFBT90u,Black And Blue,0.287,0.588,196973,0.711,0.0,11,0.0806,-6.037999999999999,1,0.0445,130.034,4,0.557,7gAppWoH7pcYmphCVTXkzs,https://i.scdn.co/image/ab67616d00001e0264648e9e2867ab36ad492ed3
The Vamps,5PpjFEASm64Bc1LI4PATaB,Sometimes,0.523,0.482,218960,0.423,0.0,7,0.105,-6.71,1,0.0686,82.598,4,0.355,7gAppWoH7pcYmphCVTXkzs,https://i.scdn.co/image/ab67616d00001e0264648e9e2867ab36ad492ed3
The Vamps,2EHLL9u4CUR6E5e9jsGXiM,If I Was Your Man,0.0448,0.41,210640,0.812,0.0,5,0.0768,-4.1530000000000005,0,0.289,193.265,4,0.8079999999999999,7gAppWoH7pcYmphCVTXkzs,https://i.scdn.co/image/ab67616d00001e0264648e9e2867ab36ad492ed3
The Vamps,5KsIxAucGZlEbvxHxC8HcZ,My Life,0.109,0.8490000000000001,205733,0.6779999999999999,0.0,0,0.0689,-4.322,0,0.0546,103.045,4,0.755,"7gAppWoH7pcYmphCVTXkzs,2WuKU0SYZOQyY3MmE4vtez",https://i.scdn.co/image/ab67616d00001e0264648e9e2867ab36ad492ed3
The Vamps,2XMMoosYos6M8yeRXvso59,Shivers,0.216,0.6940000000000001,183120,0.77,0.0,1,0.104,-4.708,1,0.0299,104.987,4,0.6409999999999999,7gAppWoH7pcYmphCVTXkzs,https://i.scdn.co/image/ab67616d00001e0264648e9e2867ab36ad492ed3
The Vamps,50YYb5vjb7ZTkNpv0MVFf4,Tequila,0.141,0.529,185720,0.517,0.0,10,0.34,-7.557,1,0.0414,171.985,4,0.47,7gAppWoH7pcYmphCVTXkzs,https://i.scdn.co/image/ab67616d00001e0264648e9e2867ab36ad492ed3
Dimitri Vegas & Like Mike,52XF8QKWtFZ4e8ujIpPVQd,The Jungle,0.0834,0.588,144016,0.8370000000000001,0.0001149999999999,9,0.171,-6.04,1,0.563,155.09799999999998,4,0.131,"73jBynjsVtofjRpdpRAJGk,6xQvQwZQQuq9R3TdPNbcR8",https://i.scdn.co/image/ab67616d00001e02fae3ba121a25b2e96be41f2a
Seven Lions,569BGSWQapYD8Niuy67Cal,After Dark - Edit,0.00316,0.5579999999999999,229859,0.976,0.38,1,0.166,-3.906,0,0.125,142.003,4,0.301,"6fcTRFpz0yH79qSKfof7lp,6WLP1sraOcF3Gaxp7xBa4p,2r7POU2f5jV6x3k4vsNwrM",https://i.scdn.co/image/ab67616d00001e02a559c6c947cce03d59f38af7
First Aid Kit,0tiQwGcxR0W5E7jLqbK3iA,Fireworks - Recorded at Spotify Studios Stockholm,0.228,0.256,277040,0.258,1.15e-05,8,0.172,-9.137,1,0.0322,173.688,3,0.19,21egYD1eInY6bGFcniCRT1,https://i.scdn.co/image/ab67616d00001e026738a0f77cc9a1897fcd1d05
Lily Allen,0258EtxjiL6jPMPcqyVSEQ,Come On Then,0.0261,0.52,191400,0.629,0.0,1,0.125,-10.321,1,0.179,143.961,4,0.32,13saZpZnCDWOI9D4IJhp1f,https://i.scdn.co/image/ab67616d00001e027a31ec4520061fb6dcce6aaa
Im With Her,2es17WUR55CXoDIcKtT0eZ,Hannah Hunt - Recorded At Spotify Studios NYC,0.8690000000000001,0.706,278611,0.109,5.53e-05,9,0.298,-14.592,1,0.0312,103.927,4,0.243,3oXddLOOjkoUuC2sX1RMdr,https://i.scdn.co/image/ab67616d00001e025db50bb62cf394abe0a87b4a
