danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,audio_features,2bCQHF9gdG5BNDVuEIEnNk,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/tracks/2bCQHF9gdG5BNDVuEIEnNk,https://api.spotify.com/v1/audio-analysis/2bCQHF9gdG5BNDVuEIEnNk,257760,4,Smooth Criminal - 2012 Remaster,Michael Jackson
0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,audio_features,1OOtq8tRnDM8kG2gqUPjAj,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,258040,4,Beat It,Michael Jackson
0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427,audio_features,7azo4rpSUh8nXgtonC6Pkq,spotify:track:7azo4rpSUh8nXgtonC6Pkq,https://api.spotify.com/v1/tracks/7azo4rpSUh8nXgtonC6Pkq,https://api.spotify.com/v1/audio-analysis/7azo4rpSUh8nXgtonC6Pkq,358053,4,Thriller,Michael Jackson
0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,audio_features,46eu3SBuFCXWsPT39Yg3tJ,spotify:track:46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/tracks/46eu3SBuFCXWsPT39Yg3tJ,https://api.spotify.com/v1/audio-analysis/46eu3SBuFCXWsPT39Yg3tJ,365467,4,Don't Stop 'Til You Get Enough,Michael Jackson
0.735,0.801,3,-4.525,1,0.0437,0.178,0.000408,0.324,0.331,131.425,audio_features,4FC7GMnGwYeAjuvC83Srbs,spotify:track:4FC7GMnGwYeAjuvC83Srbs,https://api.spotify.com/v1/tracks/4FC7GMnGwYeAjuvC83Srbs,https://api.spotify.com/v1/audio-analysis/4FC7GMnGwYeAjuvC83Srbs,280947,4,Dirty Diana - 2012 Remaster,Michael Jackson
0.634,0.87,5,-5.277,1,0.0362,0.083,0.0,0.18,0.514,116.967,audio_features,0S5EEpFAHcT7cm5XOASc29,spotify:track:0S5EEpFAHcT7cm5XOASc29,https://api.spotify.com/v1/tracks/0S5EEpFAHcT7cm5XOASc29,https://api.spotify.com/v1/audio-analysis/0S5EEpFAHcT7cm5XOASc29,235400,4,Love Never Felt So Good,Michael Jackson
0.808,0.812,8,-5.012,1,0.0381,0.52,7.91e-05,0.134,0.269,100.331,audio_features,1kiNatIrwDusOZfR29W0LJ,spotify:track:1kiNatIrwDusOZfR29W0LJ,https://api.spotify.com/v1/tracks/1kiNatIrwDusOZfR29W0LJ,https://api.spotify.com/v1/audio-analysis/1kiNatIrwDusOZfR29W0LJ,318680,4,Man in the Mirror - 2012 Remaster,Michael Jackson
0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273,audio_features,5lA3pwMkBdd24StM90QrNR,spotify:track:5lA3pwMkBdd24StM90QrNR,https://api.spotify.com/v1/tracks/5lA3pwMkBdd24StM90QrNR,https://api.spotify.com/v1/audio-analysis/5lA3pwMkBdd24StM90QrNR,238733,4,P.Y.T. (Pretty Young Thing),Michael Jackson
0.844,0.964,4,-3.262,1,0.137,0.332,0.00331,0.0743,0.655,123.574,audio_features,7zILPDxYcUt7AFslua0mc5,spotify:track:7zILPDxYcUt7AFslua0mc5,https://api.spotify.com/v1/tracks/7zILPDxYcUt7AFslua0mc5,https://api.spotify.com/v1/audio-analysis/7zILPDxYcUt7AFslua0mc5,279427,4,Leave Me Alone - 2012 Remaster,Michael Jackson
0.787,0.889,8,-3.786,1,0.0397,0.00462,0.423,0.0665,0.394,114.091,audio_features,5lWFrW5T3JtxVCLDb7etPu,spotify:track:5lWFrW5T3JtxVCLDb7etPu,https://api.spotify.com/v1/tracks/5lWFrW5T3JtxVCLDb7etPu,https://api.spotify.com/v1/audio-analysis/5lWFrW5T3JtxVCLDb7etPu,247360,4,Bad - 2012 Remaster,Michael Jackson
0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,audio_features,3wuCCNCnBhJlwkIJTBZFiv,spotify:track:3wuCCNCnBhJlwkIJTBZFiv,https://api.spotify.com/v1/tracks/3wuCCNCnBhJlwkIJTBZFiv,https://api.spotify.com/v1/audio-analysis/3wuCCNCnBhJlwkIJTBZFiv,284160,4,They Don't Care About Us,Michael Jackson
