danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,audio_features,67BtfxlNbhBmCDR2L2l8qd,spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/audio-analysis/67BtfxlNbhBmCDR2L2l8qd,137876,4,MONTERO (Call Me By Your Name),Lil Nas X
0.594,0.681,5,-7.38,1,0.269,0.483,0.0,0.49,0.309,168.024,audio_features,7jP1BjqK9Qkbmk4rq3Vjdy,spotify:track:7jP1BjqK9Qkbmk4rq3Vjdy,https://api.spotify.com/v1/tracks/7jP1BjqK9Qkbmk4rq3Vjdy,https://api.spotify.com/v1/audio-analysis/7jP1BjqK9Qkbmk4rq3Vjdy,210357,4,Nad ranem,"Kabe,Opiat"
0.794,0.504,5,-9.418,0,0.428,0.18,0.0,0.424,0.625,95.008,audio_features,2kYgryHD0pSjhorV2DOdxc,spotify:track:2kYgryHD0pSjhorV2DOdxc,https://api.spotify.com/v1/tracks/2kYgryHD0pSjhorV2DOdxc,https://api.spotify.com/v1/audio-analysis/2kYgryHD0pSjhorV2DOdxc,166678,4,Drift,"Białas,Mata,Lanek"
0.793,0.609,7,-8.962,1,0.106,0.223,6.22e-05,0.127,0.708,140.099,audio_features,3F8lYaCAqmBtlyS6u6ni1X,spotify:track:3F8lYaCAqmBtlyS6u6ni1X,https://api.spotify.com/v1/tracks/3F8lYaCAqmBtlyS6u6ni1X,https://api.spotify.com/v1/audio-analysis/3F8lYaCAqmBtlyS6u6ni1X,155272,4,Bezprawie,"Lipa,Kabe,Szwed"
0.814,0.451,10,-16.943,0,0.0462,0.00536,0.0221,0.053,0.761,117.525,audio_features,77TTF3UwfDuli2ez4QLNhV,spotify:track:77TTF3UwfDuli2ez4QLNhV,https://api.spotify.com/v1/tracks/77TTF3UwfDuli2ez4QLNhV,https://api.spotify.com/v1/audio-analysis/77TTF3UwfDuli2ez4QLNhV,236027,4,Say Say Say,"Paul McCartney,Michael Jackson"
0.583,0.905,2,-6.132,1,0.0733,0.0984,0.00019,0.0593,0.646,173.982,audio_features,4FA8jE1vcop4S3XqUWdSnP,spotify:track:4FA8jE1vcop4S3XqUWdSnP,https://api.spotify.com/v1/tracks/4FA8jE1vcop4S3XqUWdSnP,https://api.spotify.com/v1/audio-analysis/4FA8jE1vcop4S3XqUWdSnP,226827,4,Footloose,Kenny Loggins
0.546,0.843,0,-5.821,1,0.0326,0.12,4.98e-05,0.0618,0.783,129.894,audio_features,19kuZ0IExry8qYJ4lU2A0r,spotify:track:19kuZ0IExry8qYJ4lU2A0r,https://api.spotify.com/v1/tracks/19kuZ0IExry8qYJ4lU2A0r,https://api.spotify.com/v1/audio-analysis/19kuZ0IExry8qYJ4lU2A0r,244107,4,Jump - 2004 Remaster,Van Halen
0.522,0.34,9,-9.875,0,0.0313,0.523,0.0,0.123,0.0563,62.173,audio_features,1vFO4WIvw4fQ0oHkyt4rEC,spotify:track:1vFO4WIvw4fQ0oHkyt4rEC,https://api.spotify.com/v1/tracks/1vFO4WIvw4fQ0oHkyt4rEC,https://api.spotify.com/v1/audio-analysis/1vFO4WIvw4fQ0oHkyt4rEC,249267,4,Hello,Lionel Richie
0.736,0.734,7,-7.978,1,0.0339,0.251,0.00306,0.306,0.915,125.011,audio_features,2GoPjrA7Hs6uI5A3MG3Me4,spotify:track:2GoPjrA7Hs6uI5A3MG3Me4,https://api.spotify.com/v1/tracks/2GoPjrA7Hs6uI5A3MG3Me4,https://api.spotify.com/v1/audio-analysis/2GoPjrA7Hs6uI5A3MG3Me4,269773,4,Owner Of A Lonely Heart,Yes
0.742,0.493,11,-12.055,0,0.0283,0.118,0.0,0.0484,0.616,104.313,audio_features,5P6Wv0hlcnczhElizTY0UE,spotify:track:5P6Wv0hlcnczhElizTY0UE,https://api.spotify.com/v1/tracks/5P6Wv0hlcnczhElizTY0UE,https://api.spotify.com/v1/audio-analysis/5P6Wv0hlcnczhElizTY0UE,269773,4,Missing You,John Waite
0.736,0.625,1,-10.977,1,0.0475,0.124,0.00122,0.0533,0.807,108.85,audio_features,2P0COBqN70Hd2KYQj4KRjk,spotify:track:2P0COBqN70Hd2KYQj4KRjk,https://api.spotify.com/v1/tracks/2P0COBqN70Hd2KYQj4KRjk,https://api.spotify.com/v1/audio-analysis/2P0COBqN70Hd2KYQj4KRjk,259013,4,All Night Long (All Night),Lionel Richie
0.783,0.573,7,-8.521,1,0.0462,0.177,8.5e-05,0.043,0.789,122.744,audio_features,5TIc5WzpyxVZxAjYm9oJi8,spotify:track:5TIc5WzpyxVZxAjYm9oJi8,https://api.spotify.com/v1/tracks/5TIc5WzpyxVZxAjYm9oJi8,https://api.spotify.com/v1/audio-analysis/5TIc5WzpyxVZxAjYm9oJi8,261893,4,Let's Hear It For The Boy,Deniece Williams
0.525,0.842,11,-12.12,1,0.0353,0.0549,0.0,0.275,0.594,148.803,audio_features,4moXVLw4YS7tVNmjs8v60A,spotify:track:4moXVLw4YS7tVNmjs8v60A,https://api.spotify.com/v1/tracks/4moXVLw4YS7tVNmjs8v60A,https://api.spotify.com/v1/audio-analysis/4moXVLw4YS7tVNmjs8v60A,239733,4,Dancing In The Dark,Bruce Springsteen
0.704,0.646,6,-9.415,1,0.037,0.453,1.42e-05,0.549,0.713,120.54,audio_features,0uqOqX59mgWBqfPAdX0BDK,spotify:track:0uqOqX59mgWBqfPAdX0BDK,https://api.spotify.com/v1/tracks/0uqOqX59mgWBqfPAdX0BDK,https://api.spotify.com/v1/audio-analysis/0uqOqX59mgWBqfPAdX0BDK,227867,4,Girls Just Want to Have Fun,Cyndi Lauper
0.556,0.9,0,-6.11,1,0.097,0.123,0.0,0.571,0.804,126.686,audio_features,4DDgVahgRnITUk6Wnu5FWR,spotify:track:4DDgVahgRnITUk6Wnu5FWR,https://api.spotify.com/v1/tracks/4DDgVahgRnITUk6Wnu5FWR,https://api.spotify.com/v1/audio-analysis/4DDgVahgRnITUk6Wnu5FWR,266933,4,The Reflex,Duran Duran
0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,audio_features,5tzbM8m70V977Ezpfk8IPS,spotify:track:5tzbM8m70V977Ezpfk8IPS,https://api.spotify.com/v1/tracks/5tzbM8m70V977Ezpfk8IPS,https://api.spotify.com/v1/audio-analysis/5tzbM8m70V977Ezpfk8IPS,241333,4,Time After Time,Cyndi Lauper
0.858,0.749,10,-10.577,0,0.0887,0.109,1.59e-05,0.145,0.872,134.386,audio_features,2TIKxe1afsEcYWBvyTgQt3,spotify:track:2TIKxe1afsEcYWBvyTgQt3,https://api.spotify.com/v1/tracks/2TIKxe1afsEcYWBvyTgQt3,https://api.spotify.com/v1/audio-analysis/2TIKxe1afsEcYWBvyTgQt3,262467,4,Jump (For My Love) - Single Remix,The Pointer Sisters
0.734,0.821,9,-11.586,0,0.0329,0.0208,0.000103,0.0932,0.981,129.771,audio_features,08JKuFJCHJVw1SgHHjwsS9,spotify:track:08JKuFJCHJVw1SgHHjwsS9,https://api.spotify.com/v1/tracks/08JKuFJCHJVw1SgHHjwsS9,https://api.spotify.com/v1/audio-analysis/08JKuFJCHJVw1SgHHjwsS9,234867,4,Talking in Your Sleep,The Romantics
0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,audio_features,6JNJERZGJwDVgkmbohBw7u,spotify:track:6JNJERZGJwDVgkmbohBw7u,https://api.spotify.com/v1/tracks/6JNJERZGJwDVgkmbohBw7u,https://api.spotify.com/v1/audio-analysis/6JNJERZGJwDVgkmbohBw7u,246440,4,Self Control,Laura Branigan
0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815,audio_features,6BkX6DnUG80xPlBfb2zmrZ,spotify:track:6BkX6DnUG80xPlBfb2zmrZ,https://api.spotify.com/v1/tracks/6BkX6DnUG80xPlBfb2zmrZ,https://api.spotify.com/v1/audio-analysis/6BkX6DnUG80xPlBfb2zmrZ,280000,4,Let's Go Crazy,Prince
