artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Rikko Dunez,35x6RlfDH87X4u1cgIKubI,Talkin',0.3339999999999999,0.563,232699,0.527,0.0,4,0.141,-9.419,0,0.281,129.861,4,0.147,0
Jim Rystron,4Qg4a6CbWV7U0GIqzkeqId,Walkin' in the Parlor,0.983,0.594,62798,0.0286,0.00095,2,0.2,-21.146,1,0.0815,98.037,4,0.977,2
D. LYNCH,5m6rUoikFmlviz0u1kZ9UH,Don't Breathe,0.113,0.8809999999999999,254473,0.926,0.0,0,0.115,-6.086,0,0.247,99.953,4,0.354,24
Beatrice Markus,6uWcz9DKYqaGuANysINgc1,Burstin' Out,0.00712,0.58,189092,0.867,0.0042899999999999,1,0.3329999999999999,-5.95,0,0.0555,146.028,4,0.358,1
POLIÇA,0UkB0ISxcNoOnEh5sUMD1g,Agree,0.736,0.586,201747,0.621,0.0003819999999999,9,0.15,-8.082,0,0.0307,102.989,4,0.456,23
Calippo,10bciC3cPETI1Cfy0uETaK,Good for You - Original Club Mix,0.00266,0.741,322073,0.871,0.042,8,0.2269999999999999,-6.17,0,0.0444,123.001,4,0.767,20
Soulja Boy,2HXdAom65IM8wY5S2QhHpo,Fresh out the Trap,0.6809999999999999,0.7959999999999999,153936,0.477,0.0,8,0.555,-10.67,1,0.369,130.076,4,0.815,28
Alannah Myles,4VNBZDRj5qa5wYEJZn16OF,Our World Our Times,0.0126,0.6409999999999999,384240,0.726,0.0207,0,0.0845,-8.613999999999999,1,0.0432,105.326,4,0.654,18
Mokita,1Xy2tuw1Z2RvFiJEI538DT,When I See You,0.46,0.649,203843,0.568,0.0,10,0.0933,-10.051,1,0.0496,116.793,4,0.325,64
Brighty,6lbOp4P5bz45LqPqKYyAnl,Never Know Me,0.34,0.7440000000000001,254860,0.7020000000000001,0.0,2,0.187,-7.55,1,0.126,83.929,4,0.476,0
Neil Diamond,4noT9ctIX8iI5w8bvUogwW,Pretty Amazing Grace,0.8140000000000001,0.451,294013,0.284,0.0,11,0.115,-11.616,0,0.035,142.048,4,0.541,14
Ouse,3aPmcDNXLRSqYkn6Amh7U1,Cutie,0.603,0.8029999999999999,128000,0.3,0.0845,0,0.0703,-10.499,1,0.236,135.037,4,0.2189999999999999,2
