uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,artist
spotify:track:07nf7RIGkqgvQijSIubNsj,0.699,0.803,10,-10.615,0,0.509,0.146,0.0,0.534,0.661,76.24,181280,4,Werkin' Girls - Live From Spotify Austin (Curated by Jim Eno),Angel Haze
spotify:track:4OXplYTzwAoyR0rFvUsDyR,0.509,0.952,2,-5.829,0,0.362,0.0973,0.471,0.364,0.0358,117.0,465187,4,Genesis - Live / AAA,Justice
spotify:track:3wMtW7OyslemHe5Ft5sNyA,0.717,0.65,6,-8.303,0,0.337,0.0768,0.0,0.944,0.592,94.979,248517,4,Thrift Shop - Live From Spotify NYC feat. Wanz,"Macklemore & Ryan Lewis,Wanz"
spotify:track:11jpCy4SWbv1RH4UupAS7H,0.62,0.442,11,-8.232,0,0.627,0.738,0.0,0.204,0.527,139.393,302880,4,R.I.P. - Live from Spotify NYC,Rita Ora
spotify:track:7silU7h7etN24Pvohta9jB,0.568,0.543,3,-7.998,1,0.6,0.338,0.0,0.193,0.547,118.835,354417,4,Jimmy Collins' Wake - Live From Spotify NYC,Dropkick Murphys
spotify:track:3YyUzKsTKFMPJkEvlEh8vW,0.305,0.997,6,-2.93,1,0.464,0.0916,0.001,0.94,0.0612,85.024,317493,4,"Bulls on Parade - Live at the Grand Olympic Auditorium, Los Angeles, CA - September 2000",Rage Against The Machine
spotify:track:2qcs0NO8girzx18Po1YwsK,0.308,0.895,1,-6.686,1,0.526,0.0177,0.0,0.38,0.507,79.874,133533,4,Ambitionz Az A Ridah - Live,"2Pac,Outlawz"
spotify:track:3wba431TDDOE9MR2Lzcmmu,0.478,0.767,7,-8.069,0,0.342,0.38,0.106,0.671,0.48,139.758,413467,4,"Fingertips Pts. 1 & 2 - Live At The Regal Theater, Chicago/1962",Stevie Wonder
spotify:track:072Gxt8I5hKwQngdSt0AsT,0.856,0.466,9,-8.023,1,0.349,0.277,0.0,0.0826,0.277,93.995,224758,4,Versace (feat. Lola Monroe),"Theblkhands,Lola Monroe"
spotify:track:6B8LQbhkH6Sx5DNsXB3yS9,0.277,0.899,0,-5.186,1,0.423,0.128,7.49e-05,0.922,0.372,79.94,287467,4,Thank You (feat. Liqz & Messy Marv),"Berner,The Jacka,Messy Marv,Liqz"
spotify:track:4UyvPuzZgoU3NP2mCURWId,0.592,0.859,7,-7.071,0,0.394,0.0931,0.0,0.878,0.605,140.058,242213,4,On Dope (feat. Lucky Luciano),"Berner,Lucky Luciano"
spotify:track:3l97wvR7VJyvNRxNpUTwwx,0.489,0.904,1,-3.599,1,0.381,0.0325,0.0,0.908,0.551,82.977,337400,4,Rubber Band Stacks,"Berner,Young Noble Of The Outlawz,Cozmo,Yukmouth"
spotify:track:6BFWWGnEEn4tAqTYwvMuCu,0.703,0.425,11,-13.662,1,0.931,0.974,0.00802,0.843,0.635,105.068,3514828,3,His Girl Friday,The Lux Radio Theatre
spotify:track:0ABOnUPoyrGNyR9bjTXPm2,0.572,0.257,1,-19.042,1,0.905,0.525,0.0,0.08,0.374,85.108,3173520,4,The Age of Innocence,Nbc Theater
spotify:track:5lmlEU8j2dG8qeZUcSrAEe,0.62,0.305,0,-16.252,1,0.931,0.842,3.12e-05,0.0824,0.247,96.9,3271507,3,The Light That Failed,The NBC University Theater Group
spotify:track:2YXyxAZY2gqW8RZUNWwJuS,0.656,0.474,10,-15.256,0,0.926,0.882,4.24e-06,0.652,0.341,136.282,3702831,3,The Scarlet Pimpernel,The Lux Radio Theatre
spotify:track:6hAGtfXR4PFqRT7lcTqeyj,0.692,0.38,0,-13.203,1,0.953,0.94,0.0,0.118,0.478,82.41,3419254,4,A Connecticut Yankee in King Arthur's Court,Nbc Theater
spotify:track:6WsdTMOXoohWLnQ3JQcVNw,0.587,0.333,11,-13.551,1,0.905,0.733,0.000165,0.733,0.499,58.368,3539383,4,The Count of Monte Cristo,The Lux Radio Theatre
spotify:track:2A5jjjwduGW8pRE6Q6Gh0n,0.56,0.205,0,-18.804,1,0.921,0.877,4.45e-06,0.102,0.343,80.806,3077173,4,Babylon Revisited,Nbc Theater
spotify:track:7inFAhJZVyF9lGeb3eGS26,0.683,0.487,1,-15.186,0,0.952,0.978,0.00045,0.922,0.444,71.498,3469636,3,The Rage of Manhattan,The Lux Radio Theatre
spotify:track:3Dnq6v8gqOybIH3Ffvftaz,0.552,0.407,0,-12.581,1,0.936,0.875,3.45e-06,0.653,0.575,79.308,3584705,4,The Girl from Tenth Avenue,The Lux Radio Theatre
