artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,primary_artist
Daddy Yankee,5w9c2J52mkdntKOmRLeM2m,Con Calma,0.11,0.737,193227,0.86,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.6559999999999999,100,Daddy Yankee
Jonas Brothers,4y3OI86AEP6PQoDE6olYhO,Sucker,0.0427,0.8420000000000001,181040,0.7340000000000001,0.0,1,0.106,-5.065,0,0.0588,137.958,4,0.952,98,Jonas Brothers
Post Malone,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,0.52,0.7440000000000001,158040,0.494,0.0,2,0.0716,-5.563,1,0.0699,89.97200000000001,4,0.927,98,Post Malone
Post Malone,6MWtB6iiXyIwun0YzU6DFP,Wow.,0.163,0.833,149520,0.539,2.1e-06,11,0.1009999999999999,-7.399,0,0.178,99.947,4,0.385,98,Post Malone
Billie Eilish,2Fxmhks0bxGSBdJ92vM42m,bad guy,0.308,0.708,194088,0.418,0.093,0,0.1,-10.998,1,0.368,131.92600000000002,4,0.578,98,Billie Eilish
Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",0.0421,0.726,190440,0.5539999999999999,0.0,5,0.106,-5.29,0,0.0917,169.99900000000002,4,0.335,97,Ariana Grande
Marshmello,2dpaYNEQHiRxtZbfNsse99,Happier,0.191,0.687,214290,0.792,0.0,5,0.1669999999999999,-2.749,1,0.0452,100.015,4,0.6709999999999999,96,Marshmello
Ariana Grande,14msK75pk3pA33pzPVNtBF,7 rings,0.578,0.725,178640,0.321,0.0,1,0.0884,-10.744000000000002,0,0.3229999999999999,70.142,4,0.319,96,Ariana Grande
Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,Halsey
Pedro Capó,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,0.3229999999999999,0.826,238200,0.773,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.7609999999999999,96,Pedro Capo
Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,Shallow,0.371,0.5720000000000001,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.3229999999999999,96,Lady Gaga
Sam Smith,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347,96,Sam Smith
Ava Max,25sgk305KZfyuqVBQIahim,Sweet but Psycho,0.0691,0.7190000000000001,187436,0.7040000000000001,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628,96,Ava Max
Mabel,5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,0.296,0.674,178480,0.8809999999999999,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.2339999999999999,95,Mabel
Anuel Aa,5W83ErFkO3aKAIS1WMi6u0,Secreto,0.602,0.807,258800,0.8029999999999999,0.00853,11,0.136,-4.156000000000001,1,0.126,91.987,4,0.706,95,Anuel Aa
Ozuna,7uH27oIt4a6cIFCA8ZPcyG,Baila Baila Baila,0.0361,0.816,158400,0.754,0.0,11,0.217,-2.75,0,0.111,99.966,4,0.5329999999999999,95,Ozuna
J. Cole,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,0.149,0.8370000000000001,213594,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,0.4629999999999999,95,J. Cole
Lauv,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,0.176,0.599,162583,0.733,0.0,11,0.242,-7.058,1,0.203,102.211,4,0.534,95,Lauv
Lil Nas X,53CJANUxooaqGOtdsBTh7O,Old Town Road,0.0361,0.908,113013,0.517,1.73e-06,1,0.0949,-6.063,1,0.129,136.019,4,0.471,95,Lil Nas X
Marshmello,5icOoE6VgqFKohjWWNp0Ac,Here With Me,0.0623,0.7909999999999999,156347,0.565,0.0,5,0.156,-3.933,0,0.0439,99.961,4,0.181,94,Marshmello
Khalid,0rTV5WefWd1J3OwIheTzxM,Talk,0.0501,0.9,197487,0.4,0.0,0,0.0876,-8.443,1,0.124,136.001,4,0.3379999999999999,94,Khalid
A Boogie Wit da Hoodie,1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),0.0485,0.892,188387,0.53,0.0,6,0.107,-7.644,0,0.239,92.997,4,0.4029999999999999,94,A Boogie Wit da Hoodie
Maluma,31UjYv5vLsDkzchJOtUMtW,HP,0.252,0.8370000000000001,184436,0.7909999999999999,1.14e-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618,94,Maluma
YNW Melly,7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,0.145,0.759,268434,0.73,3.06e-06,0,0.11,-7.985,0,0.0516,115.007,4,0.74,94,YNW Melly
Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,0.606,94,Calvin Harris
Alec Benjamin,2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,0.74,0.652,169354,0.557,0.0,1,0.124,-5.714,0,0.0318,150.07299999999998,4,0.483,94,Alec Benjamin
Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,High Hopes,0.193,0.579,190947,0.904,0.0,5,0.064,-2.729,1,0.0618,82.014,4,0.6809999999999999,94,Panic! At The Disco
Dalex,224EVTFiLsdQignUFLvDeH,Pa Mí - Remix,0.753,0.688,360960,0.62,5.27e-06,11,0.158,-8.029,0,0.22,170.018,4,0.727,94,Dalex
DJ Snake,4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.153,0.841,212500,0.7979999999999999,3.33e-06,1,0.0618,-4.206,0,0.2289999999999999,95.948,4,0.591,94,DJ Snake
Meek Mill,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.00299999999999,4,0.544,94,Meek Mill
Billie Eilish,4SSnFejRGlZikf02HLewEF,bury a friend,0.752,0.888,193143,0.395,0.14,8,0.106,-14.645,1,0.324,120.058,4,0.162,93,Billie Eilish
Lil Nas X,6u7jPi22kF8CTQ3rb9DHE7,Old Town Road - Remix,0.0533,0.878,157067,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639,93,Lil Nas X
