artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Lecrae,1FYd1szE0RHXOAM00V4MEx,Coming In Hot,0.0271,0.89,200168,0.4539999999999999,3.58e-06,8,0.157,-8.777000000000001,1,0.26,140.041,4,0.425,70
Zé Neto & Cristiano,1fyhyOy6iS9E2NckAzjmTo,Status Que Eu Não Queria - Ao Vivo,0.59,0.58,153934,0.871,0.0,4,0.564,-4.052,1,0.209,117.622,4,0.911,74
Juan Magán,0fl1Y7GXXbcLuj2mBPtG26,Escondidos,0.0753,0.583,202713,0.8009999999999999,0.0,1,0.111,-3.167,1,0.0904,191.965,4,0.484,63
Drake,3mvYQKm8h6M5K5h0nVPY9S,After Dark (feat. Static Major &amp; Ty Dolla $ign),0.0414,0.6859999999999999,289560,0.428,0.0,2,0.138,-13.072,1,0.192,141.95,4,0.3289999999999999,71
Lit Killah,6ovp1nCwIAOSMotiCF7pjk,Bufón,0.165,0.851,242500,0.637,0.0,5,0.366,-5.534,1,0.0977,130.071,4,0.526,67
Nego do Borel,5nqehpNGoRAz4wUFK3wT9k,Me Solta,0.191,0.66,161096,0.958,0.0,9,0.125,-5.406000000000001,1,0.239,144.64,4,0.484,64
Julia Michaels,2OvV4NjEBRE9v8Oo7QeUCq,Jump (featuring Trippie Redd),0.25,0.654,207857,0.547,0.0,10,0.0961,-6.598,1,0.127,173.981,4,0.507,77
Céline Dion,7FihoA0WgTT21DkWR7wbYR,Ashes - from Deadpool 2,0.4589999999999999,0.342,199507,0.425,0.0,0,0.122,-9.064,0,0.0425,110.62,4,0.115,70
Meghan Trainor,28nrOocj11pS0UVH2VM6b5,Let You Be Right,0.0292,0.8220000000000001,176944,0.611,0.0,0,0.0628,-5.448,1,0.17,105.052,4,0.5670000000000001,63
Piso 21,43jclIPKJv9iFiYWVyWqsb,Besándote,0.0345,0.7240000000000001,181048,0.809,0.0,7,0.1689999999999999,-4.96,1,0.0559999999999999,95.037,4,0.496,62
Diplo,0UBafqn0HVWRceDnOv2SZu,Welcome to the Party,0.114,0.618,181720,0.845,0.0,2,0.415,0.175,1,0.132,171.921,4,0.486,63
El Profesor,2dQzfKRaMKUCQgMpOtpLTh,Bella ciao - HUGEL Remix,0.218,0.8420000000000001,164955,0.488,0.00718,11,0.0877,-7.856,0,0.0844,126.019,4,0.647,61
W&W,3KuUYvIPhTfjFV9KSfXru7,Long Way Down,0.00321,0.4429999999999999,203002,0.918,0.0075299999999999,1,0.132,-3.464,0,0.0528,160.043,4,0.2769999999999999,61
Charlie Charles,4BGmYEDOK1swwoxTtfmVZD,Peace & Love,0.14,0.68,182745,0.785,0.0,8,0.309,-5.313,1,0.0615,152.96200000000002,4,0.319,68
Cami,3nYGWwvtwNM5OKR3meujcm,No Es Real,0.19,0.688,177053,0.461,0.0,4,0.0824,-7.669,0,0.25,130.111,5,0.278,64
James TW,4S6qPU9YpQ4eC8R4LPucZY,Say Love - Acoustic,0.607,0.6990000000000001,221625,0.295,0.0,1,0.34,-7.352,1,0.142,169.766,4,0.417,63
Meghan Trainor,7fCNUWi6uflDTQ08srxMZk,No Excuses,0.0224,0.8270000000000001,152862,0.6579999999999999,0.0,6,0.0417,-3.846,1,0.0517,115.016,4,0.523,74
Lil Durk,2ub9SKEk2RC7VyS1MUaGFS,How I Know (feat. Lil Baby),0.256,0.545,152001,0.804,0.0,5,0.153,-4.716,0,0.198,169.975,4,0.3289999999999999,62
Kygo,76c4KOymiPUkWEeIIc0DQr,Stranger Things - Alan Walker Remix,0.146,0.659,178413,0.742,0.0,0,0.217,-4.624,1,0.0283,106.947,4,0.7290000000000001,69
Raymix,55fNwvY5YPrQgndjwBywM8,Dónde Estarás,0.144,0.551,231107,0.542,0.0,7,0.192,-7.547999999999999,0,0.0298,181.931,4,0.916,64
Elettra Lamborghini,1xYiaH50bbhvYXLQMmbjpY,Pem Pem,0.013,0.78,174697,0.888,0.00886,9,0.785,-4.878,0,0.0716,98.984,4,0.7709999999999999,67
Duki,2Z4VK9otSeq3MxWcEgptUa,Si Te Sentis Sola,0.0395,0.851,178295,0.657,0.0,11,0.123,-5.147,0,0.077,140.05,4,0.3879999999999999,66
Benjamin Ingrosso,0s3P5PImfDZYWIseR3b39D,Dance You Off,0.104,0.73,182134,0.6920000000000001,5.42e-06,8,0.106,-5.432,1,0.0695,109.08,4,0.76,62
Duki,2p1AlnJxp15v7ohNuLwjbl,Hijo De La Noche,0.196,0.7,206885,0.82,0.0,4,0.258,-4.126,0,0.0351,129.97299999999998,4,0.313,68
NWYR,4OOWQ7dlO9tsTl0O2wNf4Z,Ends Of Time,0.00316,0.475,188308,0.705,0.00245,7,0.1159999999999999,-4.876,0,0.0499,130.02100000000002,4,0.0755,62
Duki,7HLHYxRkEAWr90BGYxk15F,Quavo #Mododiablo,0.271,0.6759999999999999,237429,0.765,0.0,7,0.125,-4.612,0,0.0328,140.036,4,0.6,66
Zé Neto & Cristiano,74gguwbBvfBTurNJUWFOsC,Largado As Traças - Acústico,0.5870000000000001,0.799,217846,0.743,0.0,3,0.287,-6.062,0,0.0409999999999999,121.99,4,0.669,70
Morat,2FrWIJn9LaahbmYvzWGr7v,Antes De Los Veinte,0.155,0.621,213801,0.7879999999999999,0.0,0,0.312,-5.478,1,0.0696,98.035,4,0.8420000000000001,66
Melendi,2UehDnunVEaJKrJVZTB4tt,El Arrepentido,0.0732,0.804,218590,0.721,0.0,6,0.434,-6.025,0,0.168,99.955,4,0.6990000000000001,61
Hardwell,2zW8y5ry4YudAPnLmagr1c,Ze Willen Mee,0.318,0.877,201600,0.797,0.0,1,0.0978,-3.256,0,0.0587,100.01,4,0.4,65
Meghan Trainor,3aD8cLO0ZZTLoHwF4pTu8d,Like I'm Gonna Lose You,0.429,0.574,222107,0.528,0.0,0,0.247,-7.224,1,0.035,71.997,4,0.4639999999999999,62
Jorge & Mateus,5qjMyKkmosPBws5cImS9Zz,Trincadinho - Ao Vivo,0.449,0.711,140443,0.792,0.0,11,0.44,-3.823,1,0.0542,124.868,4,0.845,70
Moira Dela Torre,2iOnWSWcChoGmUufbrQ00e,Tagu-Taguan,0.831,0.633,249160,0.28,8.83e-05,2,0.113,-11.192,1,0.0389,87.963,4,0.152,65
Felix Jaehn,4lGaOYqLKr5Z7bA1H92FBv,Bonfire (feat. ALMA),0.0663,0.764,183000,0.79,2.37e-05,10,0.0955,-3.934,1,0.0894,111.033,4,0.351,61
Rels B,1rDxSDjpyc0qBsWzWW7OnA,Lejos de Ti,0.607,0.757,191307,0.4639999999999999,8.1e-05,5,0.127,-10.866,1,0.259,100.955,4,0.358,67
Vald,4ueL4j6iOPX23UG5VsvGrm,Désaccordé,0.418,0.746,214827,0.498,0.0,1,0.1159999999999999,-8.366,0,0.349,150.089,4,0.428,68
MC Loma e As Gêmeas Lacração,1Wolb8MRcXR2IMMaELTRpE,Envolvimento,0.447,0.852,146526,0.902,0.0,10,0.0349,-4.669,0,0.159,164.97099999999998,4,0.965,61
Not3s,7uAbIeiw12MKjpUQnH0SjL,Sit Back Down,0.214,0.557,187500,0.616,0.0,9,0.281,-5.99,0,0.226,207.983,4,0.7340000000000001,63
Super Yei,5VMnjTyMijT1Pd2v8VIJtr,Me Llama Todavia - Remix,0.0433,0.7709999999999999,341734,0.807,0.0,6,0.1,-3.527,1,0.072,163.926,4,0.887,65
C. Tangana,0Umt5FqtUbnP4iR1QejfzB,Llorando en la Limo,0.036,0.779,139355,0.371,1.32e-05,9,0.26,-8.89,0,0.163,155.08700000000002,4,0.365,63
Ludmilla,4yjljBusKH0hgsIzHlF85T,Solta a batida,0.0211,0.853,169811,0.8220000000000001,0.00886,11,0.1669999999999999,-4.565,0,0.111,105.991,4,0.79,62
L'Algérino,7qibGVhkRyQ4kgYwzZu7iG,Va Bene,0.11,0.7859999999999999,198680,0.95,0.0,0,0.121,-2.782,0,0.0559999999999999,100.073,4,0.7559999999999999,62
Bhavi,1XT4N8ostsFZcZNDio0jWL,Mojaa,0.185,0.875,189775,0.73,0.0,8,0.249,-0.5329999999999999,1,0.0624,125.006,4,0.255,64
Duki,5DQGkXXLiOhf5cKqIyWh5L,Rockstar,0.0906,0.878,112273,0.855,0.0,9,0.174,0.642,1,0.094,123.991,4,0.33,68
Morat,0vHHaHdM35DqIXhrptjjvn,Para Que Nadie Se Entere,0.426,0.391,175781,0.748,0.0,11,0.2769999999999999,-4.657,1,0.0483,179.795,4,0.614,62
Crowd Lu,4F7ZAsndEIJXyFzJUHNlRu,幾分之幾 - 電影<花甲大人轉男孩>主題曲,0.636,0.519,228571,0.342,0.0,1,0.1,-5.54,1,0.0257,143.819,4,0.425,62
Dread Mar I,3qXaAdVOZMZ7XWxBEZ7fil,En el Seno del Amor,0.143,0.764,226640,0.488,1.1e-06,3,0.123,-11.4,0,0.0686,135.94899999999998,4,0.754,61
Chad Cooper,7CenyP1EBTBx8jZepNDCBl,Wonderwall (feat. Emelie Cyréus),0.133,0.636,187513,0.755,0.0,4,0.186,-7.165,1,0.0403,100.034,4,0.273,62
Her,7LqT7LqKsCh6epYR9UdAlP,Five Minutes,0.3829999999999999,0.614,228507,0.557,0.00166,10,0.104,-6.99,0,0.0536,100.052,4,0.461,62
Mc Livinho,4fPUiN5BT02UXJkGlphfNs,Rebeca,0.05,0.616,205880,0.53,0.0,6,0.0985,-6.581,0,0.0386,145.134,4,0.17,62
Juliander,0AQDhFnLUd32C8y3cjje9g,Afterglow,0.51,0.524,213560,0.529,0.0002569999999999,6,0.0971,-6.435,1,0.0347,90.01700000000001,4,0.294,65
Soolking,6pJMDcYj8jHDGdEVWNwBMH,Guerilla,0.4379999999999999,0.738,228610,0.777,0.0,10,0.0884,-4.777,0,0.13,140.135,4,0.375,63
Joseph Vincent,4SjPJxsczdVx2Wafi5mT0J,Rewrite the Stars,0.863,0.7859999999999999,200259,0.123,0.0,6,0.103,-12.659,0,0.0391,122.936,4,0.316,65
Calum Scott,2L5V8TQCEq5n3CLrjGbWE8,"You Are The Reason - Acoustic, 1 Mic 1 Take/Live From Abbey Road Studios",0.917,0.6629999999999999,228187,0.243,1.97e-05,10,0.122,-9.337,1,0.032,81.99,3,0.168,65
MoStack,7MhsT4KUPPa5MPpkUjhmRU,What I Wanna,0.0145,0.589,213080,0.696,0.0,7,0.0848,-6.572,1,0.297,130.899,5,0.8440000000000001,64
Kidd Keo,5Dp8iBqAjkmh3kRX9bNPM7,Igot,0.2239999999999999,0.93,195429,0.5579999999999999,0.0,5,0.0928,-6.329,0,0.1969999999999999,139.97899999999998,4,0.787,65
Ninho,1qRZfv2ZbAZGPnfbIV3YvD,M.I.L.S 2.0,0.0642,0.857,173053,0.738,0.0,10,0.0666,-7.397,0,0.221,155.998,4,0.762,66
Sofiane,47YaaXykE1gR4PRBpkDtKr,Lundi,0.427,0.8190000000000001,235747,0.7959999999999999,0.0,10,0.133,-5.129,0,0.19,118.065,4,0.431,63
KZ Tandingan,4isDU5tDNqFLQ5xQ9NgPmz,"Till My Heartaches End - From ""The Significant Other""",0.845,0.497,256924,0.375,0.0,4,0.265,-6.386,1,0.0328,130.226,4,0.214,62
Marwa Loud,3VopW4TAhthIq3N4mAXwhY,Fallait Pas,0.532,0.892,208291,0.779,9.4e-06,9,0.0688,-6.607,1,0.0945,124.017,4,0.927,63
Therapie TAXI,3yndKI4zWEyC36BQYrdKBA,Hit Sale (feat. Roméo Elvis),0.141,0.573,184400,0.784,0.0,9,0.0844,-5.224,1,0.0591,82.009,4,0.69,69
Dave,7r7NTwtWAhPRtzylDu3hnE,Hangman,0.602,0.58,234725,0.598,2.58e-06,4,0.113,-6.733,0,0.389,91.282,4,0.6409999999999999,63
ELI,4kOlyvj9WiPrI4zpmzKAeA,Change Your Mind,0.402,0.826,173675,0.499,0.0,6,0.405,-9.075,1,0.0735,114.993,4,0.5820000000000001,66
Matt Johnson,5zgKbnMnySDgGxUC3KkvCZ,IDGAF - Acoustic,0.8370000000000001,0.525,192167,0.192,0.0,1,0.121,-12.187,1,0.0552,179.96200000000002,4,0.622,65
Jorge & Mateus,2U94QDSo9N4e1iXrjo7KAB,Terra Sem CEP - Ao Vivo,0.357,0.6759999999999999,177381,0.644,0.0,9,0.845,-5.468,1,0.0575,139.07,5,0.648,73
Rels B,0tHHBrzFu993Sld8IjRygk,Love It,0.457,0.8240000000000001,189591,0.467,5.22e-05,11,0.135,-9.802,1,0.162,116.01,4,0.474,62
Sigala,4f5LDR4RWrboZT1YoSUfcy,Lullaby - Acoustic,0.847,0.74,237923,0.284,0.0,6,0.11,-7.832999999999999,1,0.0342,108.279,4,0.374,63
Ocean Wisdom,79705EPc01VyUB2HAOyQhA,Revvin',0.131,0.861,236250,0.603,8.8e-06,2,0.179,-9.929,1,0.295,144.024,4,0.606,63
