artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Geovauni X,5aLpM2n2K01PZpLnGh51LB,Out of Love,0.802,0.737,303625,0.396,0.0001889999999999,1,0.134,-13.427,1,0.283,89.079,4,0.154
Balliztic,6RpaEN35uY2BBRNuU0GROl,Back Up,0.0365,0.721,235714,0.653,0.0,1,0.111,-6.252999999999999,0,0.324,111.892,4,0.324
Oral P,4QYQ3CFkORbfsJWqnv1X1M,Folake,0.6709999999999999,0.78,226064,0.851,0.000337,10,0.115,-4.393,0,0.0558,102.976,4,0.953
McCafferty,6WEQGnwqVnJ2YLQUkuN3MT,It's A,0.914,0.455,197759,0.392,0.0,4,0.124,-11.505,0,0.0355,123.002,4,0.42
A Second Life,3huj9hX9ECvhipWIGNObFl,You're Missing from Me,0.00639,0.357,250000,0.825,0.0,9,0.0918,-6.686,1,0.0408,158.046,4,0.284
DJ Sliink,2o1Y94y5wgRGHgEmGmpVQb,Never Stop,0.236,0.613,174545,0.7190000000000001,0.000458,7,0.128,-7.825,0,0.0801,77.142,4,0.639
Schranzen Danzen,4Fa9sxoJMfu1jVGAjPfGkR,Panthers Touch Mix 2,0.05,0.737,193045,0.96,0.412,10,0.105,-8.275,1,0.0595,129.109,4,0.961
Chloe Tang,4i1JkNIewk9GQcjD0gNnIS,Stranger,0.57,0.7,191250,0.382,0.0,8,0.11,-5.178,0,0.0465,127.917,4,0.1889999999999999
WATCH THE DUCK,6njmkSuMNdGj8aWVzCxJCi,I'm Happy For You (Interlude),0.8909999999999999,0.5479999999999999,70536,0.357,1.11e-05,0,0.303,-16.882,0,0.425,146.0,3,0.8009999999999999
Giuseppe Ottaviani,4WOPKEtVmSAZvWXtyApl3h,On The Way You Go (FYH100 - Part 3) - Ruben De Ronde Remix,0.0031899999999999,0.532,240650,0.901,1.76e-06,9,0.325,-6.72,1,0.113,130.138,4,0.275
Armin van Buuren,20mDGD2dww4kDL0dIbNKGe,"Sex, Love & Water (FYH100 - Part 3) - Mark Sixma Remix",0.00248,0.609,117501,0.899,0.0404,1,0.3879999999999999,-6.211,0,0.1119999999999999,129.966,4,0.474
Bogdan Vix,1EkKYC8gOmHACrZHaRVE9B,Timeshift (FYH100 - Part 3),0.000137,0.462,154845,0.732,0.011,0,0.147,-6.481,1,0.0718,129.782,4,0.0713
First State,6n6Wrf6HRSgTXwyWugKDwf,Everywhere (FYH100 - Part 3),6.7e-05,0.491,222274,0.857,0.0,7,0.357,-6.393,1,0.0865,131.965,4,0.173
Ruslan Radriges,14Z7QUk5DsYEYRzAOjOu3G,The Voice of Freedom (FYH100 - Part 3),6.64e-05,0.534,104660,0.954,0.0113,11,0.474,-6.733,0,0.0452,132.694,4,0.0383
Tycoos,2sNLQmmIHtCLb7FeY6zmhk,717 (FYH100 - Part 3),0.0002549999999999,0.498,192105,0.924,0.129,4,0.2689999999999999,-6.499,0,0.0945,135.037,4,0.0469
MaRLo,2W79QlQWFnKLr8v2TCT2nv,A Thousand Seas (FYH100 - Part 3),0.00496,0.434,231106,0.73,8.42e-06,4,0.3329999999999999,-6.597,1,0.0682,135.41899999999998,4,0.156
Andrew W.K.,5cw6nBuZE0FLiUU50mODvV,The Party Never Dies,0.000241,0.196,180320,0.963,2.01e-05,2,0.2739999999999999,-3.378,1,0.0904,172.74200000000002,4,0.264
Lilo Key,3XgBZDV6YwSXvRVMwSo7hC,Doing 2 Well,0.259,0.72,227474,0.752,4.13e-06,11,0.363,-6.567,0,0.368,76.033,4,0.568
Blackberry Smoke,4CI3cXtfzkhPcTrIANeaaK,Mother Mountain,0.109,0.455,218639,0.586,0.00258,2,0.183,-9.034,1,0.0398,80.003,4,0.231
Destructo,5O1saawOF2qqWydWjMIEUL,Shots to the Dome,0.000364,0.905,229105,0.901,0.0065,1,0.032,-3.753,1,0.0658,126.02,4,0.684
